source,config_id,run_dir,status,sampler_mode,composer_type,condition_mode,prompt_cache_path,gate_state,learning_rate,lambda_source,residual_scale,edit_scale,gate_max,dropout,batch_size,temperature,best_val_official_like@10,best_val_exact_R@10,best_val_attr_success@10,best_epoch,best_step,val_mean_rank_B
hpsearch,ov014,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov014_balanced_length_b512_lr0.0002_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0002,0.02,0.1,,,0.1,512,,0.74072265625,0.539306640625,0.85986328125,2,4000,69.122802734375
hpsearch,ov010,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov010_balanced_length_b256_lr0.0003_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.0,256,,0.740234375,0.5283203125,0.86181640625,2,4000,66.87060546875
hpsearch,ov002,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov002_balanced_length_b256_lr0.0003_src0.0_scale0.1_long,complete,balanced_length,,,,,0.0003,0.0,0.1,,,0.1,256,,0.739990234375,0.5361328125,0.861328125,2,4000,68.612060546875
hpsearch,ov005,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov005_balanced_length_b256_lr0.0003_src0.01_scale0.1_long,complete,balanced_length,,,,,0.0003,0.01,0.1,,,0.1,256,,0.739501953125,0.5341796875,0.858642578125,2,4000,68.455322265625
hpsearch,ov013,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov013_balanced_length_b512_lr0.0003_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.1,512,,0.738037109375,0.5400390625,0.8623046875,2,4000,71.510986328125
hpsearch,ov001,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov001_balanced_length_b256_lr0.0003_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.1,256,,0.73779296875,0.53173828125,0.859375,2,4000,68.6181640625
metrics,cfg002,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/gate_v1_cfg002_balanced_length_b256_lr3em04_src0.02_scale0.1_20260618_022654_long,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.1,256,0.07,0.73779296875,0.53173828125,0.859375,2,4000,68.6181640625
hpsearch,ov004,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov004_balanced_length_b256_lr0.0005_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0005,0.02,0.1,,,0.1,256,,0.737060546875,0.5322265625,0.86279296875,2,4000,70.39599609375
hpsearch,ov007,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov007_balanced_length_b256_lr0.0003_src0.02_scale0.05_long,complete,balanced_length,,,,,0.0003,0.02,0.05,,,0.1,256,,0.735107421875,0.533447265625,0.850830078125,2,4000,68.900634765625
hpsearch,ov009,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov009_balanced_length_b256_lr0.0003_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.2,256,,0.735107421875,0.5322265625,0.85009765625,2,4000,69.106201171875
