objective,attribute,threshold,score,accuracy,precision,recall,balanced_accuracy,f1,positive_rate
balanced_accuracy,Pale_Skin,0.3499999940395355,0.8534709215164185,0.8284592628479004,0.18571428954601288,0.8808411359786987,0.8534709215164185,0.3067534863948822,0.04308652505278587
balanced_accuracy,Pointy_Nose,0.5249999761581421,0.7086721062660217,0.7025217413902283,0.48517903685569763,0.7229682207107544,0.7086721062660217,0.5806726217269897,0.28489455580711365
balanced_accuracy,Receding_Hairline,0.5,0.8879271745681763,0.8794483542442322,0.3632502853870392,0.8978306651115417,0.8879271745681763,0.5172344446182251,0.07192832231521606
balanced_accuracy,Rosy_Cheeks,0.4749999940395355,0.8966629505157471,0.8703880906105042,0.3370816707611084,0.9270986914634705,0.8966629505157471,0.4944040775299072,0.06835455447435379
balanced_accuracy,Sideburns,0.3499999940395355,0.9513621926307678,0.9302360415458679,0.49646446108818054,0.975859522819519,0.9513621926307678,0.6581154465675354,0.06880757212638855
balanced_accuracy,Smiling,0.5249999761581421,0.9203804731369019,0.9207227826118469,0.9246640801429749,0.9101228713989258,0.9203804731369019,0.9173358678817749,0.48331403732299805
balanced_accuracy,Straight_Hair,0.4749999940395355,0.7973039150238037,0.7677555680274963,0.4645109474658966,0.8474908471107483,0.7973039150238037,0.6001039743423462,0.20561735332012177
balanced_accuracy,Wavy_Hair,0.5999999642372131,0.8396884202957153,0.8395329117774963,0.6665704250335693,0.8400363922119141,0.8396884202957153,0.7433172464370728,0.2765893042087555
balanced_accuracy,Wearing_Earrings,0.4749999940395355,0.8715103268623352,0.8602707982063293,0.5884098410606384,0.8896806836128235,0.8715103268623352,0.7083420753479004,0.19071827828884125
balanced_accuracy,Wearing_Hat,0.44999998807907104,0.9838233590126038,0.9788090586662292,0.6935123205184937,0.9893617033958435,0.9838233590126038,0.8154318332672119,0.04731464385986328
balanced_accuracy,Wearing_Lipstick,0.625,0.9286507964134216,0.9266119599342346,0.8942266702651978,0.947516918182373,0.9286507964134216,0.9201008677482605,0.4459656774997711
balanced_accuracy,Wearing_Necklace,0.550000011920929,0.761246383190155,0.7130920886993408,0.27232635021209717,0.8247078657150269,0.761246383190155,0.4094488024711609,0.12060200423002243
balanced_accuracy,Wearing_Necktie,0.5,0.9155643582344055,0.9192127585411072,0.47098854184150696,0.9112958908081055,0.9155643582344055,0.6210153698921204,0.07263301312923431
balanced_accuracy,Young,0.5999999642372131,0.8566775918006897,0.8482911586761475,0.9514132738113403,0.8396709561347961,0.8566775918006897,0.892056405544281,0.7465646266937256
accuracy,5_o_Clock_Shadow,0.8999999761581421,0.9380379319190979,0.9380379319190979,0.782741129398346,0.6575692892074585,0.8165714144706726,0.7147161364555359,0.11803492903709412
accuracy,Arched_Eyebrows,0.7249999642372131,0.842603325843811,0.842603325843811,0.6999402046203613,0.6842617988586426,0.7910211086273193,0.6920121908187866,0.258418470621109
accuracy,Attractive,0.5249999761581421,0.8111441135406494,0.8111441135406494,0.8133930563926697,0.8264614939689636,0.8105039596557617,0.8198752403259277,0.5200583934783936
accuracy,Bags_Under_Eyes,0.7999999523162842,0.8338450789451599,0.8338450789451599,0.6677577495574951,0.39602038264274597,0.6722258925437927,0.49718204140663147,0.2074294090270996
accuracy,Bald,0.8999999761581421,0.9902853965759277,0.9902853965759277,0.7558685541152954,0.7834550142288208,0.8890547752380371,0.7694146037101746,0.02068757265806198
accuracy,Bangs,0.824999988079071,0.9484069347381592,0.9484069347381592,0.8238519430160522,0.8246998190879822,0.8971894979476929,0.8242756724357605,0.14672572910785675
accuracy,Big_Lips,0.8500000238418579,0.8590627908706665,0.8590627908706665,0.6487804651260376,0.1747700423002243,0.5788252949714661,0.2753623127937317,0.15321891009807587
