query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
3,+Male,1595,498.9880877742947,5.820400831168722,0.5660369469827993,0.1128526645768025,0.3059561128526645,0.4426332288401254,0.1128526645768025,0.0910344827586208,0.0873354231974917,A_cal_query_only_precisionrecallmid
4,-Young,5355,298.7432306255836,6.505321535587756,0.2480865154947553,0.0436974789915966,0.1643323996265172,0.2577030812324929,0.0436974789915966,0.0422782446311853,0.0401120448179264,A_cal_query_only_precisionrecallmid
5,+Blond_Hair,5469,380.0043883708173,5.89681094192809,0.1202508957079438,0.0782592795757908,0.2419089413055403,0.3671603583836167,0.0782592795757908,0.0651307368805985,0.0588773084658986,A_cal_query_only_precisionrecallmid
6,+Mustache,301,264.3887043189369,6.775706978731377,0.0455663663975622,0.1229235880398671,0.3255813953488372,0.4352159468438538,0.1229235880398671,0.0903654485049832,0.0691029900332226,A_cal_query_only_precisionrecallmid
7,-Young,5355,298.7432306255836,6.505321535587756,0.2480865154947553,0.0436974789915966,0.1643323996265172,0.2577030812324929,0.0436974789915966,0.0422782446311853,0.0401120448179264,A_cal_query_only_precisionrecallmid
8,"+Eyeglasses, +Smiling",612,235.44771241830065,6.787892058783887,0.235037697491303,0.1683006535947712,0.4330065359477124,0.5882352941176471,0.1683006535947712,0.1356209150326801,0.1176470588235296,A_cal_query_only_precisionrecallmid
9,"+Black_Hair, -Wavy_Hair",2572,287.16407465007774,5.602003662990374,0.3224371049443077,0.0688180404354587,0.2270606531881804,0.3670295489891135,0.0688180404354587,0.0584758942457232,0.054704510108864,A_cal_query_only_precisionrecallmid
10,"-Male, -Mustache",27,481.44444444444446,7.552687998171206,0.6549013367405644,0.074074074074074,0.1851851851851851,0.4074074074074074,0.074074074074074,0.0444444444444444,0.0481481481481481,A_cal_query_only_precisionrecallmid
11,"+Chubby, -Young",584,257.41267123287673,7.145384086321478,0.1990172000066058,0.0804794520547945,0.3441780821917808,0.5017123287671232,0.0804794520547945,0.0815068493150686,0.0662671232876715,A_cal_query_only_precisionrecallmid
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,69.62025316455696,7.402829432789283,0.1838460538206221,0.2658227848101265,0.620253164556962,0.7341772151898734,0.2658227848101265,0.2025316455696201,0.1455696202531645,A_cal_query_only_precisionrecallmid
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,78.8529411764706,5.821090473848231,0.2448010913589421,0.0294117647058823,0.1176470588235294,0.2647058823529412,0.0294117647058823,0.0235294117647058,0.0264705882352941,A_cal_query_only_precisionrecallmid
0,+Smiling,4786,500.0,5.211338736151134,0.2549269156658152,0.0752193898871709,0.2156289176765566,0.2983702465524446,0.0752193898871709,0.0588382783117418,0.047743418303384,B_cal_soft_lq010_lh010_ls005_accuracy
1,+Eyeglasses,2196,500.0,5.2046350402475925,0.0585255052254087,0.1857923497267759,0.4644808743169399,0.6133879781420765,0.1857923497267759,0.1391621129326029,0.1224954462659368,B_cal_soft_lq010_lh010_ls005_accuracy
2,-Heavy_Makeup,4087,500.0,4.264820856251167,0.023190205185071,0.0533398580866161,0.1808172253486665,0.2691460729141179,0.0533398580866161,0.0433569855639831,0.0372400293613892,B_cal_soft_lq010_lh010_ls005_accuracy
3,+Male,1595,500.0,4.848579545155588,0.3894832188246018,0.1253918495297805,0.3373040752351097,0.463949843260188,0.1253918495297805,0.1038244514106583,0.0931661442006263,B_cal_soft_lq010_lh010_ls005_accuracy
4,-Young,5355,500.0,4.837256252064424,-0.0699126578076784,0.0485527544351073,0.1661998132586367,0.2644257703081232,0.0485527544351073,0.0436601307189537,0.0414752567693736,B_cal_soft_lq010_lh010_ls005_accuracy
5,+Blond_Hair,5469,500.0,4.618023621183707,-0.0182055595423893,0.0817334064728469,0.2574510879502651,0.378496982995063,0.0817334064728469,0.0693728286706879,0.0619491680380327,B_cal_soft_lq010_lh010_ls005_accuracy
6,+Mustache,301,500.0,5.118717851036807,-0.1231590253254553,0.1229235880398671,0.3654485049833887,0.4850498338870432,0.1229235880398671,0.099003322259136,0.0777408637873754,B_cal_soft_lq010_lh010_ls005_accuracy
7,-Young,5355,500.0,4.837256252064424,-0.0699126578076784,0.0485527544351073,0.1661998132586367,0.2644257703081232,0.0485527544351073,0.0436601307189537,0.0414752567693736,B_cal_soft_lq010_lh010_ls005_accuracy
